Event Name,Start,End,Location,Description,Organizer,Event URL,Relevance,City,Source CSV
AnalyticsWeek Virtual Job Fair / Career Networking Event #New York,"August 04, 2023, 11:00 AM","August 04, 2023, 02:00 PM","Virtual Event Only, New York, NY","This Virtual Career Fair Event is Conducted on the First Friday of the Month.Event link: https://analyticsweek.com/wertual/jobfairTo signup:Visit https://analyticsweek.com/wertual/login/jobfair and complete the profile.What to expect before #Jobfair?1. 2-3 days before the event, Info@TAO.ai will email* Job Seekers/Recruiter that have completed their #JobFair profile about their match status and next steps.* This email can land in your SPAM folder. Make sure to add info@tao.ai as a contact, and never miss out.2. On the day of the event, JobSeekers and Recruiters will visit their #JobFair page to participate in #AnalyticsWeek #JobFair[ Link: https://analyticsweek.com/wertual/jobfair ].What are the Benefits? We expect the event to:1. Provide seamless access to local/global talent and job opportunities2. Connect professionals with other seekers so they can collaborate and support each other3. Provide resources to support long-lasting career growth#AnalyticsWeek #Jobs Event is conducted using #JobFair by TAO.ai, World’s largest attended career fair with around 200,000 professionals and 8000 recruiting companies. #AnalyticsWeek #JobFair will target: Community of #data and #analytics professionals.Have more questions? Visit Event FAQ/Reachout Page at: https://analyticsweek.com/wertual/jobfair/faqLearn More:Wertual by TAO.ai is a proud member of the NoWorkerLeftBehind initiative to promote, connect, and re-educate the global workforce through people-centric advanced analytics and technology.About TAO and Wertual:At TAO.ai, our vision is: No Worker Left Behind, and we use advanced analytics and technology to deliver on this ambitious scalable vision.Wertual is an app by Tao that hosts World’s Largest AI-powered community where people-help-people grow/succeed. Wertual by TAO.ai brings relationships and connections back into career development.Industries Hiring @ Wertual Job Fair:Advertising, Aerospace, Agriculture and Agribusiness, Air pollution, Arms, Automotive, Broadcasting, Chemical, Computer, Construction, Creative, Defense, Education, Electric power, Electronics, Energy, Entertainment, Fashion, Film, Financial services, Fishing, Floral, Food, Healthcare, Horticulture, Hospitality, Industrial robot, Information, Insurance, Internet, Leisure, Low technology, Machine tooling, Machining, Manufacturing, Market research, Mass media, Mass production, Materials science, Meatpacking, Mining, Music, News media, Occupational injury, Occupational noise, Oil shale, Petroleum, Pharmaceutical, Pricing, Professional services, Publishing, Pulp and paper, Raw material, Real estate, Robber baron (industrialist), Semiconductor, Services, Shipbuilding, Software, Sport, Steel, Telecommunications, Textile, Tobacco, Trade association, Transport, Video game, Water, Wood, etc.Keywords:CareerFair, JobFair, JobExpo, CareerExpo, Career Fair, Job Fair, Career Expo, Job Expo, Recruiter Event, Diversity, Equality, Equal Opportunity, Equal Opportunity , #data, #analytics, #AI, #ML, #virtual, #online, community #Virtual #ONL",https://www.eventbrite.com/o/analyticsweek-6165847909,https://www.eventbrite.com/e/analyticsweek-virtual-job-fair-career-networking-event-new-york-tickets-484211217787,False,NYC,/Users/raiidahmed/PycharmProjects/Event-Extractor-With-GUI/CSV_URL_DATA/AI Governance/AI_Governance_eventbrite_Social AI_NYC.csv
Finer Days of Summer - Social Soiree to the Sounds of R&B,"August 27, 2023, 02:00 PM","August 27, 2023, 06:00 PM","340 Sinatra Drive, Hoboken, NJ 07030","Please join us as we kick off the 2023-2024 year of Finer Events, with a laid-back social soiree.   Make sure you are camera ready and wear your favorite summer chic outfit one last time for the season.  Take photos with the breath-taking views of the Hudson River while listening to the sounds of R&B classics and current hits.   Enjoy sitting at the table and catching up with your favorite Sigma Zeta Zeta Chapter member while playing table game classics like Spades and Pictionary (the adult version).   Proceeds will benefit Zeta Phi Beta Sorority, Incorporated, Sigma Zeta Zeta Chapter community service outreach programs.  Parking Garages are located on 2nd and 3rd streets which are walking distance from the venue. Hoboken street meter parking is free on Sundays.  By attending this event, I grant to Zeta Phi Beta Sorority, Incorporated Sigma Zeta Zeta Chapter the right to take photographs of me in connection to the above identified event.  I authorize Zeta Phi Beta Sorority, Incorporated , its assigns and transferees to copyright, use and publish the same in print and/or electronically.   I agree that Zeta Phi Beta Sorority, Incorporated Sigma Zeta Zeta Chapter may use such photographs of me with or without my name and for any lawful purpose, including for example such purposes as publicity, illustration, advertising, Web content and fundraising.  ",https://www.eventbrite.com/o/zeta-phi-beta-sorority-inc-sigma-zeta-zeta-chapter-38257016553,https://www.eventbrite.com/e/finer-days-of-summer-social-soiree-to-the-sounds-of-rb-tickets-671155322637,False,NYC,/Users/raiidahmed/PycharmProjects/Event-Extractor-With-GUI/CSV_URL_DATA/AI Governance/AI_Governance_eventbrite_Social AI_NYC.csv
This is an ai event,"August 22, 2023, 10:00 AM","August 22, 2023, 12:00 PM","45 Market Street, Morristown, NJ, USA","Join us for an exciting in-person event at 45 Market Street, Morristown, NJ, USA! Get ready to dive into the fascinating world of artificial intelligence. Discover the latest advancements, network with like-minded enthusiasts, and learn from top industry experts. Whether you're a beginner or an AI pro, this event is perfect for anyone curious about this cutting-edge technology. Don't miss out on this incredible opportunity to expand your knowledge and connect with fellow AI enthusiasts. Mark your calendars and be prepared for an unforgettable experience!",Eventbrite,https://www.eventbrite.com/e/this-is-an-ai-event-tickets-677375366957,True,NYC,/Users/raiidahmed/PycharmProjects/Event-Extractor-With-GUI/CSV_URL_DATA/AI Governance/AI_Governance_eventbrite_Social AI_NYC.csv
#Data #FirstFridayFair Virtual Job Fair / Career Expo Event #Columbia,"August 04, 2023, 11:00 AM","August 04, 2023, 02:00 PM","Virtual Event Only, Columbia, MO 65201","This Virtual Career Fair Event is Conducted on the First Friday of the Month.
Event link: https://fff.analyticsweek.com/wertual/jobfair
To signup:
Visit https://fff.analyticsweek.com/wertual/login/jobfair and complete the profile.
What to expect before #Jobfair?
1. 2-3 days before the event, Info@TAO.ai will email* Job Seekers/Recruiter that have completed their #JobFair profile about their match status and next steps.
* This email can land in your SPAM folder. Make sure to add info@tao.ai as a contact, and never miss out.
2. On the day of the event, JobSeekers and Recruiters will visit their #JobFair page to participate in #FirstFridayFair #JobFair[ Link: https://fff.analyticsweek.com/wertual/jobfair ].
What are the Benefits? We expect the event to:
1. Provide seamless access to local/global talent and job opportunities
2. Connect professionals with other seekers so they can collaborate and support each other
3. Provide resources to support long-lasting career growth
#FirstFridayFair #Jobs Event is conducted using #JobFair by TAO.ai, World’s largest attended career fair with around 200,000 professionals and 8000 recruiting companies. #FirstFridayFair #JobFair will target: Community of #data and #analytics professionals.
Have more questions? Visit Event FAQ/Reachout Page at: https://fff.analyticsweek.com/wertual/jobfair/faq
Learn More:
Wertual by TAO.ai is a proud member of the NoWorkerLeftBehind initiative to promote, connect, and re-educate the global workforce through people-centric advanced analytics and technology.
About TAO and Wertual:
At TAO.ai, our vision is: No Worker Left Behind, and we use advanced analytics and technology to deliver on this ambitious scalable vision.
Wertual is an app by Tao that hosts World’s Largest AI-powered community where people-help-people grow/succeed. Wertual by TAO.ai brings relationships and connections back into career development.
Industries Hiring @ Wertual Job Fair:
Advertising, Aerospace, Agriculture and Agribusiness, Air pollution, Arms, Automotive, Broadcasting, Chemical, Computer, Construction, Creative, Defense, Education, Electric power, Electronics, Energy, Entertainment, Fashion, Film, Financial services, Fishing, Floral, Food, Healthcare, Horticulture, Hospitality, Industrial robot, Information, Insurance, Internet, Leisure, Low technology, Machine tooling, Machining, Manufacturing, Market research, Mass media, Mass production, Materials science, Meatpacking, Mining, Music, News media, Occupational injury, Occupational noise, Oil shale, Petroleum, Pharmaceutical, Pricing, Professional services, Publishing, Pulp and paper, Raw material, Real estate, Robber baron (industrialist), Semiconductor, Services, Shipbuilding, Software, Sport, Steel, Telecommunications, Textile, Tobacco, Trade association, Transport, Video game, Water, Wood, etc.
Keywords:
CareerFair, JobFair, JobExpo, CareerExpo, Career Fair, Job Fair, Career Expo, Job Expo, Recruiter Event, Diversity, Equality, Equal Opportunity, Equal Opportunity , #data, #analytics, #AI, #ML, #virtual, #online, community #Virtual #ONL
",https://www.eventbrite.com/o/analyticsweek-6165847909,https://www.eventbrite.com/e/data-firstfridayfair-virtual-job-fair-career-expo-event-columbia-tickets-484654864747,False,NYC,/Users/raiidahmed/PycharmProjects/Event-Extractor-With-GUI/CSV_URL_DATA/AI Governance/AI_Governance_eventbrite_Social AI_NYC.csv
#DiversityHire Virtual Job Fair / Career Expo #Diversity Event  #New York,"August 04, 2023, 11:00 AM","August 04, 2023, 02:00 PM","Virtual Event Only, New York , NY 10007","This Virtual Career Fair Event is Conducted on the First Friday of the Month.Event link: https://diversityhire.net/wertual/jobfairTo signup:Visit https://diversityhire.net/wertual/login/jobfair and complete the profile.What to expect before #Jobfair?1. 2-3 days before the event, Info@TAO.ai will email* Job Seekers/Recruiter that have completed their #JobFair profile about their match status and next steps.* This email can land in your SPAM folder. Make sure to add info@tao.ai as a contact, and never miss out.2. On the day of the event, JobSeekers and Recruiters will visit their #JobFair page to participate in #DiversityHire #JobFair[ Link: https://diversityhire.net/wertual/jobfair ].What are the Benefits? We expect the event to:1. Provide seamless access to local/global talent and job opportunities2. Connect professionals with other seekers so they can collaborate and support each other3. Provide resources to support long-lasting career growth#DiversityHire #Jobs Event is conducted using #JobFair by TAO.ai, World’s largest attended career fair with around 200,000 professionals and 8000 recruiting companies. #DiversityHire #JobFair will target: Community of diverse candidates and professionals seeking diversity, equity, and inclusionHave more questions? Visit Event FAQ/Reachout Page at: https://diversityhire.net/wertual/jobfair/faqLearn More:Wertual by TAO.ai is a proud member of the NoWorkerLeftBehind initiative to promote, connect, and re-educate the global workforce through people-centric advanced analytics and technology.About TAO and Wertual:At TAO.ai, our vision is: No Worker Left Behind, and we use advanced analytics and technology to deliver on this ambitious scalable vision.Wertual is an app by Tao that hosts World’s Largest AI-powered community where people-help-people grow/succeed. Wertual by TAO.ai brings relationships and connections back into career development.Industries Hiring @ Wertual Job Fair:Advertising, Aerospace, Agriculture and Agribusiness, Air pollution, Arms, Automotive, Broadcasting, Chemical, Computer, Construction, Creative, Defense, Education, Electric power, Electronics, Energy, Entertainment, Fashion, Film, Financial services, Fishing, Floral, Food, Healthcare, Horticulture, Hospitality, Industrial robot, Information, Insurance, Internet, Leisure, Low technology, Machine tooling, Machining, Manufacturing, Market research, Mass media, Mass production, Materials science, Meatpacking, Mining, Music, News media, Occupational injury, Occupational noise, Oil shale, Petroleum, Pharmaceutical, Pricing, Professional services, Publishing, Pulp and paper, Raw material, Real estate, Robber baron (industrialist), Semiconductor, Services, Shipbuilding, Software, Sport, Steel, Telecommunications, Textile, Tobacco, Trade association, Transport, Video game, Water, Wood, etc.Keywords:CareerFair, JobFair, JobExpo, CareerExpo, Career Fair, Job Fair, Career Expo, Job Expo, Recruiter Event, Diversity, Equality, Equal Opportunity, Equal Opportunity , #diversity, #equity, #inclusion, #virtual, #online, community #Virtual #ONL",https://www.eventbrite.com/o/jobsofficeorg-30068395660,https://www.eventbrite.com/e/diversityhire-virtual-job-fair-career-expo-diversity-event-new-york-tickets-484181197997,False,NYC,/Users/raiidahmed/PycharmProjects/Event-Extractor-With-GUI/CSV_URL_DATA/AI Governance/AI_Governance_eventbrite_Social AI_NYC.csv
#EnergyHires Virtual Job Fair / Career Expo Event #New York,"August 04, 2023, 11:00 AM","August 04, 2023, 02:00 PM","Virtual Event Only, New York, NY","This Virtual Career Fair Event is Conducted on the First Friday of the Month.Event link: https://energyhires.com/wertual/jobfairTo signup:Visit https://energyhires.com/wertual/login/jobfair and complete the profile.What to expect before #Jobfair?1. 2-3 days before the event, Info@TAO.ai will email* Job Seekers/Recruiter that have completed their #JobFair profile about their match status and next steps.* This email can land in your SPAM folder. Make sure to add info@tao.ai as a contact, and never miss out.2. On the day of the event, JobSeekers and Recruiters will visit their #JobFair page to participate in #EnergyHires #JobFair[ Link: https://energyhires.com/wertual/jobfair ].What are the Benefits? We expect the event to:1. Provide seamless access to local/global talent and job opportunities2. Connect professionals with other seekers so they can collaborate and support each other3. Provide resources to support long-lasting career growth#EnergyHires #Jobs Event is conducted using #JobFair by TAO.ai, World’s largest attended career fair with around 200,000 professionals and 8000 recruiting companies. #EnergyHires #JobFair will target: Community of professionals from energy, solar, and utility sectors.Have more questions? Visit Event FAQ/Reachout Page at: https://energyhires.com/wertual/jobfair/faqLearn More:Wertual by TAO.ai is a proud member of the NoWorkerLeftBehind initiative to promote, connect, and re-educate the global workforce through people-centric advanced analytics and technology.About TAO and Wertual:At TAO.ai, our vision is: No Worker Left Behind, and we use advanced analytics and technology to deliver on this ambitious scalable vision.Wertual is an app by Tao that hosts World’s Largest AI-powered community where people-help-people grow/succeed. Wertual by TAO.ai brings relationships and connections back into career development.Industries Hiring @ Wertual Job Fair:Advertising, Aerospace, Agriculture and Agribusiness, Air pollution, Arms, Automotive, Broadcasting, Chemical, Computer, Construction, Creative, Defense, Education, Electric power, Electronics, Energy, Entertainment, Fashion, Film, Financial services, Fishing, Floral, Food, Healthcare, Horticulture, Hospitality, Industrial robot, Information, Insurance, Internet, Leisure, Low technology, Machine tooling, Machining, Manufacturing, Market research, Mass media, Mass production, Materials science, Meatpacking, Mining, Music, News media, Occupational injury, Occupational noise, Oil shale, Petroleum, Pharmaceutical, Pricing, Professional services, Publishing, Pulp and paper, Raw material, Real estate, Robber baron (industrialist), Semiconductor, Services, Shipbuilding, Software, Sport, Steel, Telecommunications, Textile, Tobacco, Trade association, Transport, Video game, Water, Wood, etc.Keywords:CareerFair, JobFair, JobExpo, CareerExpo, Career Fair, Job Fair, Career Expo, Job Expo, Recruiter Event, Diversity, Equality, Equal Opportunity, Equal Opportunity , #energy, #utility, #solar, #battery, #virtual, #online, community #Virtual #ONL",https://www.eventbrite.com/o/jobsofficeorg-30068395660,https://www.eventbrite.com/e/energyhires-virtual-job-fair-career-expo-event-new-york-tickets-484709227347,False,NYC,/Users/raiidahmed/PycharmProjects/Event-Extractor-With-GUI/CSV_URL_DATA/AI Governance/AI_Governance_eventbrite_Social AI_NYC.csv
#Auditors and #Advisors Virtual Job Fair / Career Expo Event #Austin #AUS,"August 04, 2023, 11:00 AM","August 04, 2023, 02:00 PM","Virtual event, Austin, TX 78701","This Virtual Career Fair Event is Conducted on the First Friday of the Month.Event link: https://jobfair.tao.ai/pod/auditorsadvisorsTo signup:Visit https://auditorsandadvisors.com/wertual/login/jobfair and complete the profile.What to expect before #Jobfair?1. 2-3 days before the event, Info@TAO.ai will email* Job Seekers/Recruiter that have completed their #JobFair profile about their match status and next steps.* This email can land in your SPAM folder. Make sure to add info@tao.ai as a contact, and never miss out.2. On the day of the event, JobSeekers and Recruiters will visit their #JobFair page to participate in #AuditorsAdvisors #JobFair[ Link: https://auditorsandadvisors.com/wertual/jobfair ].What are the Benefits? We expect the event to:1. Provide seamless access to local/global talent and job opportunities2. Connect professionals with other seekers so they can collaborate and support each other3. Provide resources to support long-lasting career growth#AuditorsAdvisors #Jobs Event is conducted using #JobFair by TAO.ai, World’s largest attended career fair with around 200,000 professionals and 8000 recruiting companies. #AuditorsAdvisors #JobFair will target: Community of professionals from accounting, finance, consulting, and audit.Have more questions? Visit Event FAQ/Reachout Page at: https://auditorsandadvisors.com/wertual/jobfair/faqLearn More:Wertual by TAO.ai is a proud member of the NoWorkerLeftBehind initiative to promote, connect, and re-educate the global workforce through people-centric advanced analytics and technology.About TAO and Wertual:At TAO.ai, our vision is: No Worker Left Behind, and we use advanced analytics and technology to deliver on this ambitious scalable vision.Wertual is an app by Tao that hosts World’s Largest AI-powered community where people-help-people grow/succeed. Wertual by TAO.ai brings relationships and connections back into career development.Industries Hiring @ Wertual Job Fair:Advertising, Aerospace, Agriculture and Agribusiness, Air pollution, Arms, Automotive, Broadcasting, Chemical, Computer, Construction, Creative, Defense, Education, Electric power, Electronics, Energy, Entertainment, Fashion, Film, Financial services, Fishing, Floral, Food, Healthcare, Horticulture, Hospitality, Industrial robot, Information, Insurance, Internet, Leisure, Low technology, Machine tooling, Machining, Manufacturing, Market research, Mass media, Mass production, Materials science, Meatpacking, Mining, Music, News media, Occupational injury, Occupational noise, Oil shale, Petroleum, Pharmaceutical, Pricing, Professional services, Publishing, Pulp and paper, Raw material, Real estate, Robber baron (industrialist), Semiconductor, Services, Shipbuilding, Software, Sport, Steel, Telecommunications, Textile, Tobacco, Trade association, Transport, Video game, Water, Wood, etc.Keywords:CareerFair, JobFair, JobExpo, CareerExpo, Career Fair, Job Fair, Career Expo, Job Expo, Recruiter Event, Diversity, Equality, Equal Opportunity, Equal Opportunity , #accounting, #audit, #finance, #consulting, #taxation, #online, community #Virtual #ONL",https://www.eventbrite.com/o/jobsofficeorg-30068395660,https://www.eventbrite.com/e/auditors-and-advisors-virtual-job-fair-career-expo-event-austin-aus-tickets-257637519757,False,NYC,/Users/raiidahmed/PycharmProjects/Event-Extractor-With-GUI/CSV_URL_DATA/AI Governance/AI_Governance_eventbrite_Social AI_NYC.csv
#USGov Virtual JobExpo / Career Fair #New York,"August 04, 2023, 11:00 AM","August 04, 2023, 02:00 PM","Virtual Event, New York, NY","This Virtual Career Fair Event is Conducted on the First Friday of the Month.Event link: https://usgov.club/wertual/jobfairTo signup:Visit https://usgov.club/wertual/login/jobfair and complete the profile.What to expect before #Jobfair?1. 2-3 days before the event, Info@TAO.ai will email* Job Seekers/Recruiter that have completed their #JobFair profile about their match status and next steps.* This email can land in your SPAM folder. Make sure to add info@tao.ai as a contact, and never miss out.2. On the day of the event, JobSeekers and Recruiters will visit their #JobFair page to participate in #USGov #JobFair[ Link: https://usgov.club/wertual/jobfair ].What are the Benefits? We expect the event to:1. Provide seamless access to local/global talent and job opportunities2. Connect professionals with other seekers so they can collaborate and support each other3. Provide resources to support long-lasting career growth#USGov #Jobs Event is conducted using #JobFair by TAO.ai, World’s largest attended career fair with around 200,000 professionals and 8000 recruiting companies. #USGov #JobFair will target: Community of professionals working and interested in USGov opportunities.Have more questions? Visit Event FAQ/Reachout Page at: https://usgov.club/wertual/jobfair/faqLearn More:Wertual by TAO.ai is a proud member of the NoWorkerLeftBehind initiative to promote, connect, and re-educate the global workforce through people-centric advanced analytics and technology.About TAO and Wertual:At TAO.ai, our vision is: No Worker Left Behind, and we use advanced analytics and technology to deliver on this ambitious scalable vision.Wertual is an app by Tao that hosts World’s Largest AI-powered community where people-help-people grow/succeed. Wertual by TAO.ai brings relationships and connections back into career development.Industries Hiring @ Wertual Job Fair:Advertising, Aerospace, Agriculture and Agribusiness, Air pollution, Arms, Automotive, Broadcasting, Chemical, Computer, Construction, Creative, Defense, Education, Electric power, Electronics, Energy, Entertainment, Fashion, Film, Financial services, Fishing, Floral, Food, Healthcare, Horticulture, Hospitality, Industrial robot, Information, Insurance, Internet, Leisure, Low technology, Machine tooling, Machining, Manufacturing, Market research, Mass media, Mass production, Materials science, Meatpacking, Mining, Music, News media, Occupational injury, Occupational noise, Oil shale, Petroleum, Pharmaceutical, Pricing, Professional services, Publishing, Pulp and paper, Raw material, Real estate, Robber baron (industrialist), Semiconductor, Services, Shipbuilding, Software, Sport, Steel, Telecommunications, Textile, Tobacco, Trade association, Transport, Video game, Water, Wood, etc.Keywords:CareerFair, JobFair, JobExpo, CareerExpo, Career Fair, Job Fair, Career Expo, Job Expo, Recruiter Event, Diversity, Equality, Equal Opportunity, Equal Opportunity , USGov, Fed, #virtual, #online, community #Virtual #ONL",https://www.eventbrite.com/o/taoai-8281910380,https://www.eventbrite.com/e/usgov-virtual-jobexpo-career-fair-new-york-tickets-484225119367,False,NYC,/Users/raiidahmed/PycharmProjects/Event-Extractor-With-GUI/CSV_URL_DATA/AI Governance/AI_Governance_eventbrite_Social AI_NYC.csv
Midtown Dance: Social Salsa,"August 04, 2023, 06:00 PM","August 04, 2023, 08:00 PM","Broadway between 34th and 35th Streets, New York, NY 10120","Learn new moves from New York City’s finest salsa instructors, then show off your style on the dance floor with a full hour of social dancing! Participants are welcome to bring their own partner, continue to dance solo, or dance with someone new!Midtown Dance is hosted and produced by Talia Castro-Pozo.Check-in begins at 5:45PMDance instruction begins at 6PM.Dance Party begins at 6:45PM2023 Line-up:August 4: Stan Cruz with DJ John JohnAugust 11: Hunter Houde with DJ Franklin AyalaAugust 18: Sekou McMiller with DJ Jimmy AntonAugust 25: Celia and David with DJ WoodySeptember 1: Franck Muhel with DJ Alex el MaestroSeptember 8: coming soonSeptember 15: Salsa Party – live music and more!September 22: Salsa Party – live music and more!Pre-registration through Eventbrite is recommended but not required.",https://www.eventbrite.com/o/34th-street-partnership-8250194915,https://www.eventbrite.com/e/midtown-dance-social-salsa-tickets-680855255397,False,NYC,/Users/raiidahmed/PycharmProjects/Event-Extractor-With-GUI/CSV_URL_DATA/AI Governance/AI_Governance_eventbrite_Social AI_NYC.csv
#Data #FirstFridayFair Virtual Job Fair / Career Expo Event #Fair New York,"August 04, 2023, 11:00 AM","August 04, 2023, 02:00 PM","Virtual Event Only, New York, NY 10007","This Virtual Career Fair Event is Conducted on the First Friday of the Month.
Event link: https://fff.analyticsweek.com/wertual/jobfair
To signup:
Visit https://fff.analyticsweek.com/wertual/login/jobfair and complete the profile.
What to expect before #Jobfair?
1. 2-3 days before the event, Info@TAO.ai will email* Job Seekers/Recruiter that have completed their #JobFair profile about their match status and next steps.
* This email can land in your SPAM folder. Make sure to add info@tao.ai as a contact, and never miss out.
2. On the day of the event, JobSeekers and Recruiters will visit their #JobFair page to participate in #FirstFridayFair #JobFair[ Link: https://fff.analyticsweek.com/wertual/jobfair ].
What are the Benefits? We expect the event to:
1. Provide seamless access to local/global talent and job opportunities
2. Connect professionals with other seekers so they can collaborate and support each other
3. Provide resources to support long-lasting career growth
#FirstFridayFair #Jobs Event is conducted using #JobFair by TAO.ai, World’s largest attended career fair with around 200,000 professionals and 8000 recruiting companies. #FirstFridayFair #JobFair will target: Community of #data and #analytics professionals.
Have more questions? Visit Event FAQ/Reachout Page at: https://fff.analyticsweek.com/wertual/jobfair/faq
Learn More:
Wertual by TAO.ai is a proud member of the NoWorkerLeftBehind initiative to promote, connect, and re-educate the global workforce through people-centric advanced analytics and technology.
About TAO and Wertual:
At TAO.ai, our vision is: No Worker Left Behind, and we use advanced analytics and technology to deliver on this ambitious scalable vision.
Wertual is an app by Tao that hosts World’s Largest AI-powered community where people-help-people grow/succeed. Wertual by TAO.ai brings relationships and connections back into career development.
Industries Hiring @ Wertual Job Fair:
Advertising, Aerospace, Agriculture and Agribusiness, Air pollution, Arms, Automotive, Broadcasting, Chemical, Computer, Construction, Creative, Defense, Education, Electric power, Electronics, Energy, Entertainment, Fashion, Film, Financial services, Fishing, Floral, Food, Healthcare, Horticulture, Hospitality, Industrial robot, Information, Insurance, Internet, Leisure, Low technology, Machine tooling, Machining, Manufacturing, Market research, Mass media, Mass production, Materials science, Meatpacking, Mining, Music, News media, Occupational injury, Occupational noise, Oil shale, Petroleum, Pharmaceutical, Pricing, Professional services, Publishing, Pulp and paper, Raw material, Real estate, Robber baron (industrialist), Semiconductor, Services, Shipbuilding, Software, Sport, Steel, Telecommunications, Textile, Tobacco, Trade association, Transport, Video game, Water, Wood, etc.
Keywords:
CareerFair, JobFair, JobExpo, CareerExpo, Career Fair, Job Fair, Career Expo, Job Expo, Recruiter Event, Diversity, Equality, Equal Opportunity, Equal Opportunity , #data, #analytics, #AI, #ML, #virtual, #online, community #Virtual #ONL

",https://www.eventbrite.com/o/analyticsweek-6165847909,https://www.eventbrite.com/e/data-firstfridayfair-virtual-job-fair-career-expo-event-fair-new-york-tickets-484671955867,False,NYC,/Users/raiidahmed/PycharmProjects/Event-Extractor-With-GUI/CSV_URL_DATA/AI Governance/AI_Governance_eventbrite_Social AI_NYC.csv
#StartupMoves Virtual Job Fair / Career Expo #Startup #Founder #New York,"August 04, 2023, 11:00 AM","August 04, 2023, 02:00 PM","Virtual Event Only, New York, NY 10007","This Virtual Career Fair Event is Conducted on the First Friday of the Month.Event link: https://startupmoves.com/wertual/jobfairTo signup:Visit https://startupmoves.com/wertual/login/jobfair and complete the profile.What to expect before #Jobfair?1. 2-3 days before the event, Info@TAO.ai will email* Job Seekers/Recruiter that have completed their #JobFair profile about their match status and next steps.* This email can land in your SPAM folder. Make sure to add info@tao.ai as a contact, and never miss out.2. On the day of the event, JobSeekers and Recruiters will visit their #JobFair page to participate in #StartupMoves #JobFair[ Link: https://startupmoves.com/wertual/jobfair ].What are the Benefits? We expect the event to:1. Provide seamless access to local/global talent and job opportunities2. Connect professionals with other seekers so they can collaborate and support each other3. Provide resources to support long-lasting career growth#StartupMoves #Jobs Event is conducted using #JobFair by TAO.ai, World’s largest attended career fair with around 200,000 professionals and 8000 recruiting companies. #StartupMoves #JobFair will target: Community of startup professionalsHave more questions? Visit Event FAQ/Reachout Page at: https://startupmoves.com/wertual/jobfair/faqLearn More:Wertual by TAO.ai is a proud member of the NoWorkerLeftBehind initiative to promote, connect, and re-educate the global workforce through people-centric advanced analytics and technology.About TAO and Wertual:At TAO.ai, our vision is: No Worker Left Behind, and we use advanced analytics and technology to deliver on this ambitious scalable vision.Wertual is an app by Tao that hosts World’s Largest AI-powered community where people-help-people grow/succeed. Wertual by TAO.ai brings relationships and connections back into career development.Industries Hiring @ Wertual Job Fair:Advertising, Aerospace, Agriculture and Agribusiness, Air pollution, Arms, Automotive, Broadcasting, Chemical, Computer, Construction, Creative, Defense, Education, Electric power, Electronics, Energy, Entertainment, Fashion, Film, Financial services, Fishing, Floral, Food, Healthcare, Horticulture, Hospitality, Industrial robot, Information, Insurance, Internet, Leisure, Low technology, Machine tooling, Machining, Manufacturing, Market research, Mass media, Mass production, Materials science, Meatpacking, Mining, Music, News media, Occupational injury, Occupational noise, Oil shale, Petroleum, Pharmaceutical, Pricing, Professional services, Publishing, Pulp and paper, Raw material, Real estate, Robber baron (industrialist), Semiconductor, Services, Shipbuilding, Software, Sport, Steel, Telecommunications, Textile, Tobacco, Trade association, Transport, Video game, Water, Wood, etc.Keywords:CareerFair, JobFair, JobExpo, CareerExpo, Career Fair, Job Fair, Career Expo, Job Expo, Recruiter Event, Diversity, Equality, Equal Opportunity, Equal Opportunity , #startup, #virtual, #online, community #Virtual #ONL",https://www.eventbrite.com/o/jobsofficeorg-30068395660,https://www.eventbrite.com/e/startupmoves-virtual-job-fair-career-expo-startup-founder-new-york-tickets-484727943327,False,NYC,/Users/raiidahmed/PycharmProjects/Event-Extractor-With-GUI/CSV_URL_DATA/AI Governance/AI_Governance_eventbrite_Social AI_NYC.csv
Jew-Ish Mixer for Social Justice,"August 02, 2023, 06:30 PM","August 02, 2023, 08:30 PM","110 Bedford Avenue, Brooklyn, NY 11249",,https://www.eventbrite.com/o/dana-rachlin-59237700433,https://www.eventbrite.com/e/jew-ish-mixer-for-social-justice-tickets-678463000097,True,NYC,/Users/raiidahmed/PycharmProjects/Event-Extractor-With-GUI/CSV_URL_DATA/AI Governance/AI_Governance_eventbrite_Social AI_NYC.csv
