Event Name,Start,End,Location,Description,Organizer,Event URL,City
Financial Institutions' Responsibility for Climate Action,"August 15, 2023, 06:00 PM","August 15, 2023, 08:00 PM","127 West 26th Street #5th Floor, New York, NY 10001","Join us for an insightful discussion  on the crucial role of financial institutions in tackling climate change. The event is on Tuesday, Aug 15, at 18:00pm .  What to expect:Networking: Engage with like-minded professionals and industry leaders.Learning: Gain valuable insights from top experts on the financial sector's role in climate action.Inspiration: Discover new ways to contribute to global sustainability efforts through financial strategies.Don't miss out on this opportunity to align your financial strategies with the urgent need for climate action. Register now to secure your place!*﻿**Climate Trade, a participant in the WEVE Acceleration program, will be presented as a compelling use case for enterprises looking to drive meaningful climate action. By engaging with employees, enterprises can ensure security, compliance, and sustainability in a rapidly changing world.This event is part of the WEVE Acceleration Flagship Panel discussion series. WEVE Acceleration identifies the most promising early and growth-stage international startups and support them with US market entry and expansion. We've accelerated over 200 international startups from 30+ nationalities and counting! As WEVE Acceleration continues to expand its business acceleration expertise and network capabilities, we have formed strong relationships with local economic development groups in the US and globally through a vast network of trade and innovation agencies.",https://www.eventbrite.com/o/weve-acceleration-13203829315,https://www.eventbrite.com/e/financial-institutions-responsibility-for-climate-action-tickets-688183012917,NYC
Climate Capital Summit,"September 20, 2023, 09:00 AM","September 20, 2023, 08:00 PM","335 Madison Avenue, New York, NY 10017","On Wednesday, September 20th in New York City, Equal Ventures is hosting their first annual Climate Capital Summit. This event will bring together the industry's most exciting senior innovators, investors, executives and policymakers to gather and discuss trends ranging from the CleanTech market cycle to today's ClimateTech market. The Climate Capital Summit is invite-only and completely free of charge.D﻿isclaimer: this event is not affiliated with Climate Capital",https://www.eventbrite.com/o/equal-ventures-62998009623,https://www.eventbrite.com/e/climate-capital-summit-tickets-637581632827,NYC
Climate Resiliency in Community Gardens,"August 26, 2023, 01:00 PM","August 26, 2023, 03:00 PM","4-80 Beach 43rd Street, Queens, NY 11691","Climate change is one of the most pressing issues of our time. Learn about design principles, green infrastructure, native plants, and other strategies to enhance climate resiliency in community gardens facing changing seasonal temperatures and flooding. Learn about the role that community gardens play in addressing climate change through biodiversity and sustainable gardening practices. Garden by the Bay is the first TestBeds (testbeds.org) site, an initiative that reuses architectural prototypes in new community garden structures. Participants can explore their new structure: a combination of a greenhouse, community room, storage shed, and covered outdoor space, completed in September 2022.  T﻿his workshop is presented in partnership with the Urban Park Rangers.P﻿hoto by Desiree Rios/The New York Times",https://www.eventbrite.com/o/nyc-parks-greenthumb-15679243764,https://www.eventbrite.com/e/climate-resiliency-in-community-gardens-tickets-626526757397,NYC
"WHERE IT FLOODS: Film Premiere, Climate Week 2023","September 23, 2023, 01:45 PM","September 23, 2023, 03:30 PM","34 West 13th Street, New York, NY 10011","Join the National Wildlife Federation during Climate Week 2023 for a premiere screening and panel discussion about climate education and community resilience in Coney Island with students, teachers and partners featured in the film.WHAT: ""Where it Floods: Planting Hope in Coney Island"" documentary premiereWHEN: Saturday, September 23, from 1:45pm to 3:30pm. Doors open at 1:30pm.WHERE: Quad Cinema, 34 West 13th Street in Manhattan between 5th and 6th Avenues. ""Where it Floods"" follows New York City students on the frontline of climate activism in Coney Island as they participate in RiSC, a climate education program that connects schools with local residents and organizations to help build community resilience.RSVP by September 15, 2023. S﻿pace is limited and seats will be assigned on a first come first served basis. How to Get to Quad CinemaThe climate crisis represents a significant threat to New York City’s 8.4 million inhabitants, including more than 1 million K-12 students. In the coming decades, more frequent extreme weather events, rising temperatures and extreme heat, changing precipitation, sea level rise, and the loss of land, homes, businesses, and lives will impact New York City. Our city’s young people understand this reality and want a meaningful education that prepares them for a climate altered future. Despite this, New York City students typically receive just 2 hours of climate instruction per school year on average.The National Wildlife Federation’s award-winning Resilient Schools Consortium (RiSC) program has been training teachers and educating students about climate science, climate impacts and resilience solutions since 2017.  NWF staff and partners have been working in Coney Island with local residents and community organizations since 2020 to help build both social and ecological resilience. Students from seven NYC middle and high schools learned about climate science, climate impacts, and the natural and built solutions that increase climate resiliency. They explored structural racism that caused inequitable exposures to climate risks, and used digital tools and surveys to understand their community's vulnerability to natural hazard risks like sea level rise and coastal erosion. By revegetating dunes along Coney Island’s shoreline, they learned how to help protect nearby residents’ homes from flooding. Most importantly students interviewed longtime Coney Islanders about their lived experiences with climate change and gentrification over time, and the persistent needs of their community that remains vulnerable to climate impacts 10 years after a major hurricane laid it to waste.F﻿or questions, contact nycresilientschools@gmail.comP﻿hoto: Alex Nawrocky for NWFFilm P﻿oster: Driven Studio",https://www.eventbrite.com/o/national-wildlife-federation-6391609253,https://www.eventbrite.com/e/where-it-floods-film-premiere-climate-week-2023-tickets-694922882047,NYC
Implications of SEC Climate Rule on Capital Markets,"August 16, 2023, 05:30 PM","August 16, 2023, 08:30 PM","101 Park Avenue, New York, NY 10178","Join the BASIC community on August 16th from 5:30 pm - 8pm for an in-person panel discussion about the proposed SEC Climate and ESG Disclosures and implications for capital markets. We will have refreshments and opportunity to meet and connect with our panelists and BASIC members. P﻿anelists:John Morris, Founder and CEO, 17 Asset ManagementPeter Schott, Finance Business Partner - Climate and Sustainability, MastercardKaren Serituk, Head of Americas, Sustainable Banking, Finance and Investments at TATA Consultancy Services (TCS)Kim Leslie Shafer, Senior Advisory, Impact Capital ManagersNiki Shah, Consultant, Sustainable Banking, Finance and Investments at TATA Consultancy Services (TCS), AmericasThe event will be hosted at the TATA Consultancy Services (TCS) office at 101 Park Avenue.5:30pm - 6:00 pm: Networking with light refreshments provided.6:00 pm - 6:20 pm:  Introduction by Karen Serituk, Head of Sustainable Banking, Finance and Investments, TCS Americas. 6:20 pm - 7:30 pm: Panel discussion 7:30 pm - 7:35 pm: Closing statements8﻿:00: Exit (Venue closed)",https://www.eventbrite.com/o/basic-ny-68826817653,https://www.eventbrite.com/e/implications-of-sec-climate-rule-on-capital-markets-tickets-681820211607,NYC
The Future Within Us,"September 17, 2023, 05:00 PM","September 17, 2023, 06:30 PM","21 A Clinton Street, New York, NY 10002","How do you envision the future? What aspects of that world are already here? The Future Within Us kicks off the 5th Climate Change Theatre Action festival with original short plays that grapple with a changing world. Join the Arts & Climate Initiative for this funny, poetic, and poignant evening of theatre, music, and magic tricks!
Featuring original short plays by Nicolas Billon (Canada), Chantal Bilodeau (U.S.), Miranda Rose Hall (U.S.), Ethan King (Philippines), and Kevin Matthew Wong (Canada). Conceived by Chantal Bilodeau and Julia Levine. Directed by Britt Berke.
The Future Within Us is made possible by the New York State Council on the Arts with the support of the Office of the Governor and the New York State Legislature as well as with funds from Creative Engagement, a regrant program supported by The New York City Department of Cultural Affairs (DCLA) in partnership with the City Council, and administered by LMCC.
We gratefully acknowledge the State of New York and The Puffin Foundation for their support of this project.
Climate Change Theatre Action is a worldwide festival of short plays about the climate crisis. CCTA 2023 runs from September 17 to December 23, 2023.
The Arts & Climate Initiative uses storytelling and live performance to foster dialogue about our global climate crisis, create an empowering vision of the future, and inspire people to take action.",https://www.eventbrite.com/o/caveat-13580085802,https://www.eventbrite.com/e/the-future-within-us-tickets-691330908357,NYC
NEW CLIMATE FUTURES: A Newlab Event,"September 21, 2023, 09:00 AM","September 21, 2023, 07:00 PM","19 Morris Avenue, Brooklyn, NY 11205","We are at an inflection point for Climate and don’t have time for moonshots. That’s why our workshops are designed to produce real-world outcomes to the most pressing problems.To deliver these outcomes, government, industry, and deep tech startups must work together. We’re bringing leading figures from all 3 together for a day of workshops, inspiring speakers, and networking. Attendees will be able to see first-hand what 50+ entrepreneurs have been working on to create the future of climate innovation.In short — NEW CLIMATE FUTURES is the only gathering with real-world outcomes towards local and global climate goals for entrepreneurs, technology developers, policymakers, investors, industry experts, and community leaders.Featuring: Activate, ARPA-E, Bank of America, Brooklyn Chamber of Commerce, CTVC, Michigan Central, Ørsted, and NYSERDALearn more about the event here.",https://www.eventbrite.com/o/newlab-8442809847,https://www.eventbrite.com/e/new-climate-futures-a-newlab-event-tickets-681895446637,NYC
“Food and Agriculture as a Solution to the Climate Crisis”,"September 14, 2023, 10:00 AM","September 14, 2023, 06:00 PM","44 Charlton Street New, New York, NY 10014","Food Tank, the Forum for Farmers and Food Security, UNGC Local Network Food & Agriculture Initiative, and NYU Steinhardt present“Food and Agriculture as a Solution to the Climate Crisis.""Thursday, September 14 @ WNYC – NPR studios in New York CityIn collaboration with the World Food Program-USA, the UN Food and Agriculture Organization North America, the UN Environment Programme (UNEP), the UN Development Programme (UNDP), and the International Fund for Agricultural Development (IFAD). Our overarching goal for this event is to highlight the crucial role of food and agriculture in addressing the climate crisis, both domestically and internationally. H﻿ow to attend:Livestream: Register here (open now). In-Person (Complimentary by Invitation Only): If you have been invited to attend the Summit in person please input the promotion code here to unlock your ticket. Complimentary lunch, coffee/snacks, and a fantastic reception will be offered. If you would like to be considered for an invitation, please email Kenzie at Kenzie@FoodTank.com. Note: Food Tank members can attend all our Summits nationwide. If you are not already a member, join at FoodTank.com/Join.Speakers will be announced soon! ",https://www.eventbrite.com/o/food-tank-6917569381,https://www.eventbrite.com/e/food-and-agriculture-as-a-solution-to-the-climate-crisis-tickets-675636164957,NYC
The Intersection of Climate Change and Racism in the Southern US,"September 20, 2023, 10:30 AM","September 20, 2023, 12:00 PM","12 East 41st Street Room 701, New York, NY 10017","The US South bears the brunt of the climate crisis in the US, with hurricanes, sea level rise, tornadoes, severe storms with heavy rains and flooding, along with drought, affecting millions of people and their homes, land, waters, farms, and livelihoods.. Racism and economic injustice cause these impacts to fall disproportionately on Native, Black, Brown, and low-wealth communities, as well as on young people.This workshop will explore how SAL tools help build and strengthen movements in the South to address climate change, racial and environmental justice, and to heal divisions resulting from racism and environmental harm.  In this workshop, we will:★ Learn of the key challenges facing frontline communities in the South as they address the climate crisis and racism.★ Learn how the path for ending the climate crisis and racial injustice in the U.S. runs through this region, and successes so far.★ Examine how racism affects our efforts to build and sustain efforts to respond to the climate emergency.★ Learn the approaches used by Sustaining All Life and United to End Racism to heal from the damage of racism and other oppression, strengthen our effectiveness in the climate justice movement, and prevent division and burnout.",https://www.eventbrite.co.uk/o/sustaining-all-life-67466229743,https://www.eventbrite.co.uk/e/the-intersection-of-climate-change-and-racism-in-the-southern-us-tickets-677176301547,NYC
Making a Climate for Families,"September 23, 2023, 01:00 PM","September 23, 2023, 04:00 PM","West 70th Street, New York, NY 10019","Come join us to envision the environment we want and to thinktogether about how we will make it possible. Parents know ourchildren need clean and healthy air, water, food, and a place to livethat is safe from floods, fires, and ever-more extreme weather. Ourchildren deserve a future. Sustaining All Life/United to End Racism isoffering a playful and supportive setting from 1 to 4 pm where wecan have fun together while looking at the topic of climate change.We will offer:★ Fun activities, including games, art, music, and reading circles★ A welcoming and empowering place for children to learnabout climate change★ Groups for young people who want to put out their thinking, askquestions, or share feelings and worries with one another★ Listening circles for parents to share their thoughts, worries, andfears so they are better prepared to talk and listen to theirchildren★ Creating artwork, banners, signs, chants, and songs togetherfor a celebratory children’s climate justice march around thepark.",https://www.eventbrite.co.uk/o/sustaining-all-life-67466229743,https://www.eventbrite.co.uk/e/making-a-climate-for-families-tickets-672580214527,NYC
Mental Health Liberation: Tools for Climate Activists,"September 23, 2023, 01:30 PM","September 23, 2023, 03:00 PM","12 East 41st Street Room 701, New York, NY 10017","In order to stop the climate crisis, we will need to do many things that do not feel “normal.” We will need to break out of our passivity, stop over-consuming, and feel difficult feelings about the destruction of the environment and our own climate activism. We will also need to build close relationships with each other to support each other in our climate work and do so in a culture that systematically divides and separates us.Sustaining All Life calls this movement against a “normal” culture of conformity, passivity, overconsumption, isolation, and numbness “Mental Health Liberation.”In this workshop you will learn:·		 How normality is defined by the behaviors most desirable by profiteering interests;·		 How our societies and institutions enforce conformity and make people less likely to act against authority or resist oppression;·		 A Mental Health Liberation framework for understanding human upset beyond the medical (mental illness/mental health) and consumer models;·		 Practical tools for dealing with the emotions that come up when we face the climate emergency and challenge societal norms; and·		 A format for exchanging care with each other that creates the safety we need to show ourselves and build closer relationships.Understanding how our societies and institutions define and enforce normality is key to making the big changes we need to make. Please join us as we take this on together.",https://www.eventbrite.co.uk/o/sustaining-all-life-67466229743,https://www.eventbrite.co.uk/e/mental-health-liberation-tools-for-climate-activists-tickets-673146899497,NYC
Community Garden Support | Climate Resiliency,"August 12, 2023, 12:00 PM","August 12, 2023, 01:00 PM","664 East 105th Street, Brooklyn, NY 11236",Discover the magic of gardening in Canarsie and help make our community greener. Join us for an uplifting event focused on tackling climate issues while learning valuable ways to create positive change.Proud partnership with Green Guerillas. ,https://www.eventbrite.com/o/the-flossy-organization-canarsie-advocacy-hub-68221087013,https://www.eventbrite.com/e/community-garden-support-climate-resiliency-tickets-695043573037,NYC
Hip-Hop Vs Caribbean Midnight Yacht Party Fri. Aug 18th,"August 18, 2023, 11:30 PM","August 19, 2023, 03:30 AM","2430 FDR Drive, New York, NY 10010","**** YACHT WILL BE SAILING OUT AT 11:45PM! ****The Official Hip-Hop Vs. Caribbean ® MIDNIGHT Yacht party at Skyport Marina Cabana Yacht located at 2430 FDR Dr, New York, NY 10010. Join us at the Hottest Hip-Hop vs. Caribbean Sunset Cruise Yacht Party in with NYC Hottests Djs while enjoying views of the Manhattan Cities Skyline!Tickets Are on Sale nowWhat You'll GetCustomers can arrive by 11:00 p.m. for check-in with yachtBottle service AvailableThe yacht will be sailing. Boarding 11:00pm, Sail 11:45pm. The Yacht returns to Marina at 3:45 am. Please arrive early so you don't miss the Yacht. No Refunds if you miss it!ID is a Must. Drinks Bar onboard. 2 Floors of music with climate-controlled Main Floor & Upper Deck!For more ticket information on Afrobeats vs. Caribbean Party Cabana Yacht Cruise call/ or text 347-593-4473**** YACHT WILL BE SAILING OUT AT 11:45PM! ****",https://www.eventbrite.com/o/jiggytime-ent-5494940201,https://www.eventbrite.com/e/hip-hop-vs-caribbean-midnight-yacht-party-fri-aug-18th-tickets-695088998907,NYC
