ID,Event Name,Start,End,Location,Description,Organizer,Event URL,City
7779,LDEO Earth Science Colloquium,2023-10-06 15:30:00,2023-10-06 16:30:00,"Lamont-Doherty Earth Observatory, 61 Route 9W, Palisades, NY 10964, Monell Auditorium","The Earth Science Colloquium Series, sponsored by Lamont-Doherty Earth Observatory and Columbia University Department of Earth and Environmental Sciences (DEES), provides a lively forum for discussing a wide variety of topics within the Earth sciences and related fields. Colloquia are attended by the full range of scientific and technical staff at LDEO. Colloquium attendance is required of all pre-orals DEES graduate students. The Colloquium Series supports the Lamont Seminar Diversity Initiative.",Dr. Einat Lev,https://www.climate.columbia.edu/events/ldeo-earth-science-colloquium-4,NYC
7780,Scaling & commercializing innovation for climate action,2023-10-10 14:00:00,2023-10-10 15:00:00,Online,"Discover how youth leadership and innovation can contribute to addressing global climate change and achieving the Sustainable Development Goals (SDGs) by joining our upcoming webinar series titled ""Fostering Youth-Led Innovation for the SDGs."" Delivered jointly by Entrepreneurship @ Environment at the University of Waterloo and Center for Sustainable Development at Columbia University, this series will explore ‘how’ and ‘why’ transformative approaches to education can be used as a vehicle for empowering young people to drive the type of innovations and entrepreneurial ventures that are necessary to drive progress on the 2030 agenda.",Entrepreneurship @ Environment at the University of Waterloo and Center for Sustainable Development at Columbia University.,https://www.climate.columbia.edu/events/scaling-commercializing-innovation-climate-action,NYC
7781,Lamont-Doherty Earth Observatory (LDEO) Open House,2023-10-14 10:00:00,2023-10-14 16:00:00,"Lamont-Doherty Earth Observatory, 61 Route 9W, Palisades, NY 10964","We will be back on campus for the next Open House on October 14, 2023. Program details will be posted as it comes available. Please visit the Open House Website for the latest information. Whether you’re an aspiring young scientist or a long-time science enthusiast, you’re sure to enjoy Lamont-Doherty’s Open House. Join us for lab tours, participate in hands-on earth science activities with our scientists, and learn from world-renowned researchers about their latest discoveries. Open House is free and open to the public, with a $5 suggested donation.",Climate School Events,https://www.climate.columbia.edu/events/lamont-doherty-earth-observatory-ldeo-open-house-0,NYC
7782,Monthly overview of IRI's Global Seasonal Climate Forecasts and ENSO status and forecast.,2023-10-19 14:00:00,2023-10-19 15:00:00,Online,"The International Research Institute for Climate and Society (IRI) presents its climate forecast briefing. The IRI's seasonal, sub-seasonal and ENSO (El Niño Southern Oscillation) forecasts are discussed in this monthly briefing by IRI climate scientists Azhar Ehsan and Bohar Singh.",IRI Seminar,https://www.climate.columbia.edu/events/monthly-overview-iris-global-seasonal-climate-forecasts-and-enso-status-and-forecast-33,NYC
7783,LDEO Earth Science Colloquium,2023-10-20 15:30:00,2023-10-20 16:30:00,"Lamont-Doherty Earth Observatory, 61 Route 9W, Palisades, NY 10964 Monell Auditorium","The Earth Science Colloquium Series, sponsored by Lamont-Doherty Earth Observatory and Columbia University Department of Earth and Environmental Sciences (DEES), provides a lively forum for discussing a wide variety of topics within the Earth sciences and related fields. Colloquia are attended by the full range of scientific and technical staff at LDEO. Colloquium attendance is required of all pre-orals DEES graduate students. The Colloquium Series supports the Lamont Seminar Diversity Initiative.",Dr. Einat Lev,https://www.climate.columbia.edu/events/ldeo-earth-science-colloquium-6,NYC
7784,Ethics in Action: the role of CBOs and NGOs,2023-10-23 14:00:00,2023-10-23 15:00:00,Online,"Discover how youth leadership and innovation can contribute to addressing global climate change and achieving the Sustainable Development Goals (SDGs) by joining our upcoming webinar series titled ""Fostering Youth-Led Innovation for the SDGs."" Delivered jointly by Entrepreneurship @ Environment at the University of Waterloo and Center for Sustainable Development at Columbia University, this series will explore ‘how’ and ‘why’ transformative approaches to education can be used as a vehicle for empowering young people to drive the type of innovations and entrepreneurial ventures that are necessary to drive progress on the 2030 agenda.",Entrepreneurship @ Environment at the University of Waterloo and Center for Sustainable Development at Columbia University,https://www.climate.columbia.edu/events/ethics-action-role-cbos-and-ngos,NYC
7785,LDEO Earth Science Colloquium,2023-11-03 15:30:00,2023-11-03 16:30:00,"Lamont-Doherty Earth Observatory, 61 Route 9W, Palisades, NY 10964 Monell Auditorium","The Earth Science Colloquium Series, sponsored by Lamont-Doherty Earth Observatory and Columbia University Department of Earth and Environmental Sciences (DEES), provides a lively forum for discussing a wide variety of topics within the Earth sciences and related fields. Colloquia are attended by the full range of scientific and technical staff at LDEO. Colloquium attendance is required of all pre-orals DEES graduate students. The Colloquium Series supports the Lamont Seminar Diversity Initiative.",Dr. Einat Lev,https://www.climate.columbia.edu/events/ldeo-earth-science-colloquium-8,NYC
7786,LDEO Earth Science Colloquium,2023-11-10 15:30:00,2023-11-10 16:30:00,"Lamont-Doherty Earth Observatory, 61 Route 9W, Palisades, NY 10964 Monell Auditorium","The Earth Science Colloquium Series, sponsored by Lamont-Doherty Earth Observatory and Columbia University Department of Earth and Environmental Sciences (DEES), provides a lively forum for discussing a wide variety of topics within the Earth sciences and related fields. Colloquia are attended by the full range of scientific and technical staff at LDEO. Colloquium attendance is required of all pre-orals DEES graduate students. The Colloquium Series supports the Lamont Seminar Diversity Initiative.",Dr. Einat Lev,https://www.climate.columbia.edu/events/ldeo-earth-science-colloquium-9,NYC
7787,LDEO Earth Science Colloquium,2023-12-01 15:30:00,2023-12-01 16:30:00,"Lamont-Doherty Earth Observatory, 61 Route 9W, Palisades, NY 10964, Monell Auditorium","The Earth Science Colloquium Series, sponsored by Lamont-Doherty Earth Observatory and Columbia University Department of Earth and Environmental Sciences (DEES), provides a lively forum for discussing a wide variety of topics within the Earth sciences and related fields. Colloquia are attended by the full range of scientific and technical staff at LDEO. Colloquium attendance is required of all pre-orals DEES graduate students. The Colloquium Series supports the Lamont Seminar Diversity Initiative.",Dr. Einat Lev,https://www.climate.columbia.edu/events/ldeo-earth-science-colloquium-10,NYC
7788,Monthly overview of IRI's Global Seasonal Climate Forecasts and ENSO status and forecast.,2023-12-21 14:00:00,2023-12-21 15:00:00,Online,"The International Research Institute for Climate and Society (IRI) presents its climate forecast briefing. The IRI's seasonal, sub-seasonal and ENSO (El Niño Southern Oscillation) forecasts are discussed in this monthly briefing by IRI climate scientists Azhar Ehsan and Bohar Singh.",IRI Seminar,https://www.climate.columbia.edu/events/monthly-overview-iris-global-seasonal-climate-forecasts-and-enso-status-and-forecast-35,NYC
7789,Climate forecast briefing,2024-01-18 14:00:00,2024-01-18 15:00:00,Online,"The International Research Institute for Climate and Society (IRI) presents its climate forecast briefing. The IRI's seasonal, sub-seasonal and ENSO (El Niño Southern Oscillation) forecasts are discussed in this monthly briefing by IRI climate scientists Azhar Ehsan and Bohar Singh.",IRI Seminar,https://www.climate.columbia.edu/events/monthly-overview-iris-global-seasonal-climate-forecasts-and-enso-status-and-forecast-36,NYC
7790,Columbia Climate School,2024-02-15 14:00:00,2024-02-15 15:00:00,Online,"The International Research Institute for Climate and Society (IRI) presents its climate forecast briefing. The IRI's seasonal, sub-seasonal and ENSO (El Niño Southern Oscillation) forecasts are discussed in this monthly briefing by IRI climate scientists Azhar Ehsan and Bohar Singh.",IRI Seminar,https://www.climate.columbia.edu/events/monthly-overview-iris-global-seasonal-climate-forecasts-and-enso-status-and-forecast-37,NYC
7791,Sunset Boat Tour: Explore our Region's Port Infrastructure,2023-08-01 18:20:00,2023-08-01 21:00:00,"12th Avenue and West 43rd Street, New York, NY 10036","Open House New York invites you for a summer evening cruise of New York Harbor to learn about the immense scale and complexity of local and global port activity. Bethann Rooney, Port Director at the Port Authority of New York and New Jersey and a 30+ year veteran in the maritime industry, will guide us on an exploration of the past, present, and future of the shipping industry in New York Harbor.
As the gateway to one of the most concentrated consumer markets in the world, the Port of New York and New Jersey is the busiest container terminal on the East Coast and second busiest in the country. A major shipping hub from the first pier in 1659 through the establishment of the Port Authority in 1921 to today, the wooden ships and cargo hooks of the past have now been replaced by computers and a landscape of gantry cranes.
The tour will showcase container terminals and cargo infrastructure, along with iconic sites like the Lower Manhattan skyline and Statue of Liberty. Join us for an exclusive cruise exploring how the Port of New York and New Jersey will continue to serve the region with world-class infrastructure as our cities globalize and supply chains work to meet our on-demand needs.
AIA CES credits (2.5 LU) is available for this program.
",https://www.eventbrite.com/o/open-house-new-york-1513263208,https://www.eventbrite.com/e/sunset-boat-tour-explore-our-regions-port-infrastructure-tickets-664788569507,NYC
7792,Lighting the Path: AAPI Leaders Powering Up the Energy Justice Movement,2023-08-11 12:00:00,2023-08-11 13:00:00,Online,"Join us for Lighting the Path: AAPI Leaders Powering Up the Energy Justice Movement this August 11, 2023 to explore the rich history of islands around the world, and how it has led to a powerful movement for energy justice. From Hawai’i to the Philippines, islands have a rich history of power, honor, and connection to the natural world. For centuries, island communities have honored the planet and fought to protect their resources from the exploitation of mainlands. Despite facing the challenges of colonialism and exploitation, these communities have fostered a movement for Energy Justice that has proven stronger than their opponents.",Energy Allies,https://www.eventbrite.com/e/lighting-the-path-aapi-leaders-powering-up-the-energy-justice-movement-tickets-646305074877,NYC
25,National Drive Electric Week,2023-10-01 10:00:00,2023-10-01 14:00:00,"Schenectady Greenmarket, 105 Jay St, Schenectady, NY, 12308","2022's Largest Attended NDEW Event is coming back to ""The Electric City"" and looking to break its own attendance record! Join the City of Schenectady, Schenectady Greenmarket, Livingston Energy Group, and the NY Capital District Electric Vehicle Association as they team up to host the NYS Capital District Drive Electric Week and Sustainability Fair on Sunday, October 1st from 10 a.m. – 2 p.m.",The City of Schenectady,https://driveelectricweek.org/event,NYC
9796,Manny's Neighborhood Trash Cleanup,2023-07-30 10:00:00,2023-07-30 11:00:00,"3092 16th Street, San Francisco, CA 94103",Meet at Manny's (3092 16th St) to grab gear and go out into the neighborhood to clean. Receive a special certificate that includes a whole host of neighborhood discounts valid that day. Sign up on this TogetherSF Mobilize page or email info@refuserefusesf.org with event name.,https://www.eventbrite.com/o/refuse-refuse-san-francisco-33093871775,https://www.eventbrite.com/e/mannys-neighborhood-trash-cleanup-tickets-682752239327,SF
7794,Educational Environments,2023-09-09 09:00:00,2023-09-09 14:00:00,"2561 Kent Ave., West Lafayette, IN 47906","Led by School Leader Jessica Walters, this event will provide valuable insights into creating effective educational environments. Explore the importance of classroom set-up, engaging strategies, and developmentally age-appropriate practices. Discover how to create welcoming, warm, and nurturing spaces that invite children to learn and thrive. Take part in environment tours to gain practical inspiration for your own classroom. By participating in this event, you will earn 3 hours of professional development credit, applicable towards Paths to QUALITY™ and CDA credential. Additionally, you will receive a $150 virtual gift card to Lakeshore Learning, empowering you to implement the concepts learned and enhance your educational environment. Don't miss this opportunity to transform your classroom into a space that fosters meaningful learning experiences for children.",https://www.eventbrite.com/o/early-learning-indiana-68422829393,https://www.eventbrite.com/e/educational-environments-tickets-676127263847,MTL
7795,"MACFEST 2023: Islam, Culture & Environment: Are Muslims Environmentalists?",2023-07-30 06:00:00,2023-07-30 07:00:00, Online," Join us for a conversation with Zarina Ahmad, to reflect on what it’s like to be a Muslim and an environmentalist!", MACFEST - Muslim Arts and Culture Festival.,https://www.eventbrite.co.uk/e/macfest-2023-islam-culture-environment-are-muslims-environmentalists-tickets-415642175937,MTL
7796,Preserving Art Environments,2023-08-10 15:00:00,2023-08-10 16:00:00,Online,"A virtual conversation with Annalise Flynn (SPACES Archives), Yaphet Smith (L.V. Hull Legacy Center) and Bob Levesque (Salvation Mountain).",Intuit: The Center for Intuitive and Outsider Art,https://www.eventbrite.com/e/preserving-art-environments-tickets-676086542047,MTL
41,Electric Innovations Fair,2023-10-24 12:30:00,2023-10-27 14:30:00,"1001 Pl. Jean-Paul-Riopelle, Montréal, QC H2Z 1H5, Canada","The Electric Innovations Fair offers a unique platform for companies to present their newest products and technological breakthroughs. From smart home automation systems to energy-efficient appliances, visitors have the opportunity to discover the future of electrical devices and their impact on everyday life.",Eventbrite,https://www.eventbrite.com/e/electric-innovations-fair-tickets-678127245847,MTL
7797,The Ultimate Sneaker Show MONTREAL,2023-08-05 12:00:00,2023-08-05 18:00:00,"777 Boulevard Robert-Bourassa, Montréal, QC H3C 3Z7, Canada","The Ultimate Sneaker Show is Canada’s premiere sneaker event, bringing the community together to BUY SELL TRADE and CONNECT in a safe and fun environment. The Ultimate Sneaker ShowSaturday August 5 202312PM-6PM (All Ages Welcome)",https://www.eventbrite.ca/o/sole-exchange-canada-59431286113,https://www.eventbrite.ca/e/the-ultimate-sneaker-show-montreal-tickets-636187252197,MTL
7798,Réseautage des nouveaux arrivants,2023-08-02 18:00:00,2023-08-02 20:00:00,"1182 Boulevard Saint-Laurent, Montréal, QC H2X 2S5, Canada","✨ Vous êtes au Québec depuis moins de 24 mois ? Ce réseautage est fait pour vous ! Rejoignez-nous au réseautage des nouveaux arrivantsSi vous avez récemment immigré au Québec en tant que travailleur temporaire, PVTiste, étudiant international ou résident permanent, Immigrant Québec et ses partenaires vous invitent à venir rencontrer d'autres personnes venues des quatre coins du monde et qui apprennent à vivre au Canada et plus précisément, dans ""la belle province"" !Vous serez accueilli(e) par une équipe de bénévoles, fins connaisseurs du Québec à qui vous pourrez poser toutes les questions auxquelles vous n'avez pas encore trouvé de réponse.Venez rencontrer des professionnels qui pourront vous orienter et vous accompagner en fonction de vos besoins.Echangez vos expériences et développez votre réseau dans un environnement convivial.-----------------------------------------------------------------L'entrée du réseautage est gratuite et comprend une boisson et des bouchées offertes.✨ ¿Has estado en Quebec por menos de 24 meses?¡Esta evento de redes es para ti!Si emigró recientemente a Quebec como trabajador temporal, trabajador pvtiste, estudiante internacional o residente permanente, Immigrant Quebec y sus socios lo invitan a venir y conocer a otras personas de todo el mundo que están aprendiendo a vivir en Canadá y más precisamente, en ""la belle province""!Será recibido por un equipo de voluntarios, conocedores de Quebec a quienes podrá hacer todas las preguntas a las que aún no haya encontrado una respuesta.Ven y conoce a profesionales que podrán orientarte y apoyarte según tus necesidades.-----------------------------------------------------------------Intercambia tus experiencias y desarrolla tu red en un ambiente amigable.✨ You've been in Québec for less than 2 years ? T﻿his networking event was made for you ! Come and meet up with newcomers just like you.If you recently arrived in Québec as a temporary workers, international student or permanent resident, Immigrant Québec and its partners are inviting you to meet people from all over the world. You will be welcomed by our volunteers who know everything you need to know about the province and will help you find answers to any questions you have. C﻿ome meet  professionnals who will be able to help you settle and accompany you according to your needs.Exchange your experiences and develop your network in a friendly environment.-----------------------------------------------------------------The event is free and food and bites are included.",https://www.eventbrite.ca/o/immigrant-quebec-43751540863,https://www.eventbrite.ca/e/billets-reseautage-des-nouveaux-arrivants-668987007147,MTL
43,Sustainability Soiree,2023-08-09 19:00:00,2023-08-09 23:00:00,"1945 Southeast Water Avenue, Portland, OR 97214","Wednesday 8/9 is SCIENCE DAY at #SWPDX23. On Science Day we will explore the science of psychology, physiology, and anatomy, that dictated the construction and development of the world's elite sneakers. From 1 of 1 shoes to DIY recipes, we are showcasing talented scientists and makers from around the world that help make the “impossible” possible.  The Sustainability Soiree is a celebration of science and sustainability within the footwear and greater athletic and outdoor apparel industry.",https://www.eventbrite.com/o/sneaker-week-pdx-17724613828,https://www.eventbrite.com/e/sustainability-soiree-tickets-620373121707,MTL
7849,BVS & BioMed Realty's Biotech Sustainability Vendor Expo at Termeer Square,2023-08-15 16:00:00,2023-08-15 18:30:00,"300 Athenaeum Street, Cambridge, MA 02142","BVS in collaboration with BioMed Realty are hosting an outdoor  Biotech Community Sustainability Vendor Expo Biotech at Termeer Square.This event will be held in Termeer Square in the heart of Kendall Square which has Amgen, Alnylam, Merrimack, Takeda Pharmaceuticals, and many others located in this vicinity.  Kendall Square, which has been labeled “the most innovative square mile on the planet"". This will be a wonderful outdoor summer event focused on products and services that are sustainable and we will have a beer garden, along with great food, extra special raffle prizes and lots of networking. We are looking forward to seeing everyone.Pam",https://www.eventbrite.com/o/biotech-vendor-services-inc-bvs-26233643995,https://www.eventbrite.com/e/bvs-biomed-realtys-biotech-sustainability-vendor-expo-at-termeer-square-tickets-682288432067,Boston
7850,Getting from Here to There - Advancing Your Sustainability Solution,2023-09-19 16:00:00,2023-09-19 20:00:00,"110 Canal Street 3rd Floor, Lowell, MA 01852","T﻿he UMass Lowell Innovation Hub and Hamilton Brook Smith Reynolds are putting on this amazing one night only experience geared toward startups and small businesses in the green tech and sustainability sectors! Listen to startups speak on their experience making their way through the market in our Fireside Chat and hear from industry professional filled Innovation Panel discussion as they speak on topics relevant to YOU! Also don't miss the engaging networking and Innovation Showcase sessions where you will have the chance to talk with entrepreneurs at various stages of development as well as like minded, sustainability focused community members.T﻿ake a look at our expansive agenda below to get an idea of the many areas of interest we will be touching upon.A﻿GENDA4:00-5:00  -----  Registration, networking, Innovation Showcase5:00-5:15. -----  Welcome remarks5:15-6:00. -----  Fireside Chat with established startups' journeys6:00-7:00. -----  Innovation Panel Discussion with Industry ProfessionalsEquitable access to the sustainability innovation ecosystem - What resources are available for historically under-served and under-represented entrepreneurs in this space? Intellectual property – How do I protect my sustainability innovation?Product Development – What resources are available to develop my solution?Business plan / Generate revenue – Who is going to use / buy my innovation?Funding – Grant resources, investor options (strategic, private equity, venture capital7:00-7:15 	Q&A from the audience7:15-8:00 	Networking, Innovation Showcase8:00					 Program closeF﻿ireside Chat Speakers_﻿____________________________________________________________About AJ & Boatman ShoesAJ, age 23, is the owner and President of Boatman. Boatman Shoes offers luxury, sustainable boat shoes made from vegan cactus leather.AJ has always had a passion for quality apparel, and wanted to start a business of which he was proud. “Save the earth, one style at a time”.Boatman started in 2020 after research in bridging the gap between sustainability and fashion. AJ and his team have more exciting innovations in the works!L﻿earn more about AJ  HEREL﻿earn more about Boatman Shoes HERE_﻿____________________________________________________________About Jonathan & Folia MaterialsJonathan Levine, PhD, is the CEO and co-founder of Folia Materials, located in suburban Boston. As CEO, he's taken Folia from idea to a Seed stage company, with industrial manufacturing and Fortune 100 clients.Folia’s patented coating technology transforms paper into an advanced material platform capable of replacing billions of plastic products. Our paper-not-plastic microwave susceptor food packaging crisps food and controls moisture to improve food quality, outperforming plastic susceptors.L﻿earn more about  Jonathan HEREL﻿earn more about Folia Materials HERE_﻿____________________________________________________________I﻿nnovation Panel Speakers_﻿____________________________________________________________About Barbara Russell & CapW GlobalRecognized authority, thought provoker and frequent speaker on venture capital, early-stage startups, fundraising, diversity, inclusive finance, FinTech, entrepreneurship, EdTech, CleanTech, finance and, pitch competitions.Barbara just completed serving as a judge in her TWENTIETH pitch competition (virtually, of course) since COVID began with such competitive ones as: Rice U. Pitch; NYState Bus Plan Comp; BU BuildLab; and previously, MIT Inclusive Innovation Challenge; NFTE; HarvardiLab, and UMASS.As a founder of Cap W, she realized her longstanding mission to advance the ability of the most promising early-stage companies to succeed through our model of investing and accelerating women and POC-led businesses in tech and tech-enabled companies, principally focused on the AI, ML, VR, and ed-tech sectors. We provide strategic advice that maximizes the ability of these companies to scale via targeted fundraising from optimal and inclusive strategic, venture, and other capital sources.L﻿earn more about Barbara HERE_﻿_____________M﻿ore Panelist Information To Come..._﻿____________________________________________________________S﻿ponsors _﻿____________________________________________________________L﻿earn more about the UMass Lowell RIST Institute HEREL﻿earn more about M&T Bank HERE",https://www.eventbrite.com/o/umass-lowell-innovation-hub-34441932605,https://www.eventbrite.com/e/getting-from-here-to-there-advancing-your-sustainability-solution-tickets-675529536027,Boston
8246,Botanical Drawing an Urban Meadow w/ NCL Artist Resident Jessica Dalyrmple,2023-08-24 18:00:00,2023-08-24 20:00:00,"63 Williamsburg Street West, Brooklyn, NY 11249","At this free workshop style event Jessica will lead participants to zoom in for a closer look at the  specific plants and trees at the NCL. Time will be spent discussing the wildlife  and native plants in the NCL, concentrating on those aspects of the plant palette related to its natural history and that support sustainability and  biodiversity. Participants will choose a plant specimen to draw and in doing so will learn about its morphology and additionally about conditions under which it  thrives, declines, and how it affects the other plants and wildlife.  This workshop will touch on how painting/sketching can be a vehicle for  observation and how the act of quieting down and focusing our attention  enlivens our subject, allowing a kind of symbiosis to occur while deepening our  connection to nature. A﻿rt supplies will be provided; however participants are wecome to bring their personal supplies.E﻿mail JessicaMDalyrmple@gmail.com with any questions.2023 Artist Resident Events are funded by Nature Sacred.",https://www.eventbrite.com/o/brooklyn-greenway-initiative-2339390903,https://www.eventbrite.com/e/botanical-drawing-an-urban-meadow-w-ncl-artist-resident-jessica-dalyrmple-tickets-635603706797,NYC
47,QUiNTUS@7 : Les nouveaux récits de la transition,2023-10-20 15:00:00,2023-10-20 23:00:00,"Maison du développement durable, 50 Sainte-Catherine Ouest Montréal, QC H2X 3V4 Canada","Partager, rassembler, cocréer, célébrer autour des solutions de la transition socioécologique! Le 16 juin prochain, l’équipe QUiNTUS vous invite à venir cocréer les nouveaux récits de la transition.",QUiNTUS,https://www.eventbrite.ca/e/billets-quintus7-les-nouveaux-recits-de-la-transition-605072386797,MTL
